Position,Company,Salary,Min-Salary,Max-Salary,City,Empirical,Education,Work Nature,Advantage,Detail,Address,Coordinate
C/C++开发工程师,罗博数码研发部,8k-15k,8k,15k,青岛,1-3年,大专及以上,全职,"股权,弹性工作,智能硬件,智慧教育",1、负责PC端应用程序开发与维护；2、与后台服务端配合完成网络交互；3、根据产品需求完成架构和模块设计、编码、测试工作；4、能按照项目计划，按时提交高质量的代码，完成开发任务。职位要求：1.熟练使用C/C++，具备一定的代码调试能力和复杂交互功能的实现能力；2.熟悉Windows系统的体系结构与运行机制，包括内存管理、线程调度、文件系统、注册表管理等技术；3.熟悉SoftICE/Ollydbg/Windbg/IDA等反编译或调试工具中的一种，有一定的逆向分析能力；4.具备较强的钻研精神和用户导向意识，PC图形软件开发经验者优先。,青岛株洲路169号昌盛新兴产业园F座3楼,"(120.45524, 36.136498)"
C/C++工程师,赛猊腾龙研发部,6k-10k,6k,10k,合肥,1-3年,大专及以上,全职,弹性时间 不打卡 发展空间大 加班少,岗位职责：主要负责windows/linux下DLP客户端的开发、网络协议解析等。岗位要求：1.计算机或者相关专业大专及以上学历，1年以上相关工作经历。2.熟练掌握C/C++语言开发，掌握Python或者Shell语言优先。3.熟悉网络基本知识，了解HTTP、SMTP协议，了解交换机、路由器基本知识，有网络开发经验优先。4.有实际的linux或windows下产品开发经验，能够熟练使用GCC/GDB等开发调试工具，或熟练使用windows的调试工具。5.熟悉基本数据结构算法。6.具有信息安全经验或者相关领域知识者优先。,合肥翠微路6号,"(117.225992, 31.782353)"
C/C++开发工程师,SERAPHIC研发部,3k-4k,3k,4k,上海,应届毕业生,本科及以上,实习,补充医疗险、旅游、体检、餐补、带薪年假,职位要求：1.熟练掌握C/C++开发。2.了解面向对象开发。3.了解传统数据结构及算法。4.熟悉多线程进编。5.熟悉Linux平台下的软件debug。6.善于沟通交流，自我激励。7.具备专业文档英语读写能力。,上海上海市杨浦区国权路98号国阳大厦6楼,"(121.515848, 31.288234)"
C开发工程师,纬创软件研发部,9k-12k,9k,12k,上海,1-3年,本科及以上,全职,"上市企业,五险一金,优秀平台,1年13薪",岗位要求：1、全日制统招本科及以上学历，16年毕业的或者16年之前毕业的；2、2年及以上IT工作经验，必须有金融行业项目经验者；3、熟练掌握C语言，能熟练使用相关开发工具；4、熟悉Unix操作系统，精通SQL语法，熟悉INFORMIX数据库者优先；5、有理财、基金代销、保险代销等相关项目的项目经验者优先；6、沟通能力较好，抗压能力强。公司优势：入职购买五险一金，上市公司，团队氛围好，一年一次免费体检，一次团队旅游等。欢迎有需要的朋友发送简历至我的邮箱，收到后我会尽快回复，感谢你的关注。,上海唐镇来安路,"(121.672927, 31.247227)"
C语言开发工程师,中国电科院,7k-14k,7k,14k,福州,1-3年,本科及以上,全职,五险一金,岗位职责：1、负责调度计划专业相关软件的核心算法模块研发；2、根据产品核心算法的设计思想完成高质量的C语言编码和测试等工作；3、负责部门所开发产品的部署实施和维护等支持工作；招聘要求：1)正规高校计算机、电气、电子、电力、自动化相关专业本科及以上学历;2-3年工作经验；2)精通C/C++语言编程，包括C/C++语言基础、网络编程、多线程等；3)具备LINUX服务器开发经验，熟悉Socket网络编程，熟悉多进程/多线程编程技术，熟悉一种或多种脚本语言进行开发，例如shell4)具备数据库开发经验，至少熟悉一种数据库基本操作，如MySql、Oracle等；5)具备使用c/c++、gcc、makefile。gdb进行编码、集成和调试经验6)具备良好的编码、文档习惯、机构清晰、命名规范；7)目标任务计划管理力和执行力强，沟通和协作能力强，具有良好的团队协作精神；8)学习能力强，分析判断能力强，具备良好业务理解能力，创新能力，逻辑思路清晰、强的独立分析、解决问题的能力；9)为人正直，责任心强，工作积极主动认真负责，能承受工作压力；,福州福建电力公司,"(119.306854, 26.105728)"
C语言工程师,华信永道交付部门,7k-13k,7k,13k,昆明,1-3年,本科及以上,全职,六险一金 12天带薪年假 生日 中秋福利,在UNIX平台上使用C语言开发工具完成软件系统的设计和开发。任职资格：1、本科以上学历，计算机、信息管理、电子等相关专业；2、两年以上独立开发工作经验；3、拥有扎实的C语言基础和编程能力，具备良好的代码编程习惯及较强的文档编写能力；4、熟练使用UNIX下的C、C++开发及UNIX下的各种开发工具的使用；5、拥有银行或公积金软件系统开发经验者优先；6、责任心强，勤奋敬业，工作积极主动，有独立工作能力；7、能够在云南省内出差。福利待遇：1.入职签订劳动合同，购买五险一金；2.12天带薪年假，项目假，出差补贴，定期体检，具有竞争力的薪酬；3.上市公司，晋升空间大。,昆明日新中路广福城,"(102.698556, 24.996195)"
C语言工程师,长沙世速网络科技有限公司,3k-5k,3k,5k,长沙,不限,学历不限,全职,工作环境良好，公司氛围轻松,职责描述：1、计算机及相关专业专科以上学历；2、有较好的C语言基础；3、了解linux操作系统；4、了解常用数据库例如mysql；5、有项目实操经验者优先；6、英语水平较好，能独立看懂英文技术类文档的优先。工作地点：长沙市芙蓉区五一路人瑞潇湘国际3001（袁家岭地铁口旁）,长沙长沙市芙蓉区五一路人瑞潇湘国际3001（袁家岭地铁口旁 ）,"(113.004665, 28.194737)"
高级C语言工程师,集联软件大客户事业部,18k-25k,18k,25k,北京,5-10年,本科及以上,全职,"弹性工作,能力提升快,成长快,下午茶",【岗位职责】1.参与软件产品和项目的工程实施工作；2.参与需求分析、概要设计、详细设计、代码开发、单元测试、系统测试等软件过程；3.参与编写各类技术文档。【岗位要求】1.计算机相关专业毕业生，5年以上银行系统开发经验；2.熟练掌握C语言，Proc编程；3.掌握SQL编程，熟练掌握Oracle数据库；4.熟悉Linux/Unix操作系统；5.有TUXEDO、CICS等交易中间件开发经验；6.良好的团队合作能力和协调沟通能力，能承受工作压力。,北京永丰基地永澄路2号邮储软件研发中心,"(116.227698, 40.078151)"
C开发工程师,上海中软华腾软件系统有限公司,10k-20k,10k,20k,北京,1-3年,本科及以上,全职,五险一金，待遇优厚,1、要求全日制公办本科及以上学历。2、熟悉Linux，熟悉常见的Linux命令。3、有Linux/Unix下C语言开发经验。4、熟悉SQL（增删改查），了解Oracle数据库。5、熟练掌握Shell、Python之一的脚本编程。6、工作认真细致、敬业，能承受较大的工作压力。7、团队合作意识强，能够有效的进行沟通。,北京达美,"(116.601144, 39.948574)"
c语言讲师,北京八维研修学院软工学院,10k-15k,10k,15k,北京,不限,本科及以上,全职,"餐补,五险一金,绩效奖金,带薪年假","职位描述：1、编写需求分析文档，和相关软件设计文档，如设计文档、测试报告、说明手册等；2、参与架构设计和编码，能对现有平台性能和构架进行优化和改进；3、精通C/C++语言，精通使用Linux下C/C++开发及调式环境；4、熟悉linux多线程，进程/线程间通讯；5、C语言的教研工作和项目研发。任职要求：1、本科及以上学历,计算机相关专业毕业；2、23岁以上，2年以上工作经验；3、热爱教育行业。",北京上地,"(116.303276, 40.035542)"
